Instance,Solved,Makespan,PlanLength,TotalDelay,SlowdownDelay,BlockageDelay,EngineRepairDelay,Time,States,MemoryError,Timeout
p1,1,24.010,6,0.000,0.000,0.000,0.000,0.010,7,0,0
p2,1,26.456,8,0.000,0.000,0.000,0.000,0.020,9,0,0
p3,1,31.001,10,0.000,0.000,0.000,0.000,0.020,11,0,0
p4,1,30.465,12,0.000,0.000,0.000,0.000,0.030,13,0,0
p5,1,30.359,14,0.000,0.000,0.000,0.000,0.050,15,0,0
p6,1,31.190,16,0.000,0.000,0.000,0.000,0.050,17,0,0
p7,1,33.076,18,0.000,0.000,0.000,0.000,0.080,19,0,0
p8,1,32.374,20,0.000,0.000,0.000,0.000,0.100,21,0,0
p9,1,32.069,22,0.000,0.000,0.000,0.000,0.120,23,0,0
p10,1,34.334,24,0.000,0.000,0.000,0.000,0.130,25,0,0
p11,1,30.916,28,0.000,0.000,0.000,0.000,0.190,29,0,0
p12,1,34.334,30,0.000,0.000,0.000,0.000,0.280,31,0,0
p13,1,35.654,32,0.000,0.000,0.000,0.000,0.230,33,0,0
p14,1,33.693,34,0.000,0.000,0.000,0.000,0.270,35,0,0
p15,1,35.001,36,0.000,0.000,0.000,0.000,0.300,37,0,0
p16,1,33.354,38,0.000,0.000,0.000,0.000,0.350,39,0,0
p17,1,35.001,40,0.000,0.000,0.000,0.000,0.400,41,0,0
p18,1,32.732,42,0.000,0.000,0.000,0.000,0.490,43,0,0
p19,1,33.382,44,0.000,0.000,0.000,0.000,0.530,45,0,0
p20,1,34.982,46,0.000,0.000,0.000,0.000,0.560,47,0,0
p21,1,34.664,50,0.000,0.000,0.000,0.000,0.720,51,0,0
p22,1,32.482,52,0.000,0.000,0.000,0.000,0.800,53,0,0
p23,1,34.334,54,0.000,0.000,0.000,0.000,0.830,55,0,0
p24,1,32.374,56,0.000,0.000,0.000,0.000,0.910,57,0,0
p25,1,34.001,58,0.000,0.000,0.000,0.000,1.020,59,0,0
p26,1,33.693,60,0.000,0.000,0.000,0.000,1.180,61,0,0
p27,1,34.334,62,0.000,0.000,0.000,0.000,1.300,63,0,0
p28,1,33.693,64,0.000,0.000,0.000,0.000,1.370,65,0,0
p29,1,34.001,66,0.000,0.000,0.000,0.000,1.460,67,0,0
p30,1,34.020,70,0.000,0.000,0.000,0.000,1.670,71,0,0
p31,1,32.194,70,0.000,0.000,0.000,0.000,1.620,71,0,0
p32,1,32.482,72,0.000,0.000,0.000,0.000,1.800,73,0,0
p33,1,34.011,74,0.000,0.000,0.000,0.000,1.960,75,0,0
p34,1,35.315,76,0.000,0.000,0.000,0.000,2.170,77,0,0
p35,1,35.654,78,0.000,0.000,0.000,0.000,2.270,79,0,0
p36,1,35.654,80,0.000,0.000,0.000,0.000,2.560,81,0,0
p37,1,35.315,82,0.000,0.000,0.000,0.000,2.840,83,0,0
p38,1,34.982,86,0.000,0.000,0.000,0.000,3.140,87,0,0
p39,1,35.001,88,0.000,0.000,0.000,0.000,3.260,89,0,0
p40,1,34.664,90,0.000,0.000,0.000,0.000,3.500,91,0,0
p41,1,34.664,92,0.000,0.000,0.000,0.000,3.700,93,0,0
p42,1,36.001,94,0.000,0.000,0.000,0.000,3.960,95,0,0
p43,1,34.334,96,0.000,0.000,0.000,0.000,4.360,97,0,0
p44,1,36.001,100,0.000,0.000,0.000,0.000,4.590,101,0,0
p45,1,32.374,102,0.000,0.000,0.000,0.000,5.120,103,0,0
p46,1,36.001,104,0.000,0.000,0.000,0.000,5.430,105,0,0
p47,1,31.276,106,0.000,0.000,0.000,0.000,5.610,107,0,0
p48,1,34.982,108,0.000,0.000,0.000,0.000,5.950,109,0,0
p49,1,34.020,110,0.000,0.000,0.000,0.000,6.440,111,0,0
p50,1,34.655,112,0.000,0.000,0.000,0.000,6.800,113,0,0
p51,1,34.655,116,0.000,0.000,0.000,0.000,7.280,117,0,0
p52,1,34.982,118,0.000,0.000,0.000,0.000,7.580,119,0,0
p53,1,34.020,120,0.000,0.000,0.000,0.000,7.790,121,0,0
p54,1,35.654,122,0.000,0.000,0.000,0.000,8.500,123,0,0
p55,1,34.334,124,0.000,0.000,0.000,0.000,8.810,125,0,0
p56,1,34.334,126,0.000,0.000,0.000,0.000,9.350,127,0,0
p57,1,34.334,130,0.000,0.000,0.000,0.000,10.190,131,0,0
p58,1,35.315,132,0.000,0.000,0.000,0.000,10.560,133,0,0
p59,1,33.674,134,0.000,0.000,0.000,0.000,11.040,135,0,0
p60,1,34.020,136,0.000,0.000,0.000,0.000,12.040,137,0,0
p61,1,34.664,138,0.000,0.000,0.000,0.000,12.540,139,0,0
p62,1,36.001,140,0.000,0.000,0.000,0.000,12.760,141,0,0
p63,1,34.011,142,0.000,0.000,0.000,0.000,13.350,143,0,0
p64,1,33.408,146,0.000,0.000,0.000,0.000,13.960,147,0,0
p65,1,34.664,148,0.000,0.000,0.000,0.000,15.210,149,0,0
p66,1,35.315,150,0.000,0.000,0.000,0.000,15.120,151,0,0
p67,1,34.334,152,0.000,0.000,0.000,0.000,16.070,153,0,0
p68,1,33.382,154,0.000,0.000,0.000,0.000,16.930,155,0,0
p69,1,35.654,156,0.000,0.000,0.000,0.000,17.700,157,0,0
p70,1,34.334,160,0.000,0.000,0.000,0.000,18.550,161,0,0
p71,1,34.982,160,0.000,0.000,0.000,0.000,18.090,161,0,0
p72,1,34.655,162,0.000,0.000,0.000,0.000,19.260,163,0,0
p73,1,34.982,164,0.000,0.000,0.000,0.000,19.200,165,0,0
p74,1,36.001,168,0.000,0.000,0.000,0.000,20.900,169,0,0
p75,1,34.334,170,0.000,0.000,0.000,0.000,21.470,171,0,0
p76,1,36.001,172,0.000,0.000,0.000,0.000,23.630,173,0,0
p77,1,34.011,176,0.000,0.000,0.000,0.000,24.410,177,0,0
p78,1,34.020,178,0.000,0.000,0.000,0.000,24.660,179,0,0
p79,1,35.654,182,0.000,0.000,0.000,0.000,27.390,183,0,0
p80,1,35.001,184,0.000,0.000,0.000,0.000,25.780,185,0,0
p81,1,35.654,186,0.000,0.000,0.000,0.000,27.570,187,0,0
p82,1,34.655,190,0.000,0.000,0.000,0.000,28.600,191,0,0
p83,1,36.001,192,0.000,0.000,0.000,0.000,29.510,193,0,0
p84,1,35.654,194,0.000,0.000,0.000,0.000,32.500,195,0,0
p85,1,36.001,198,0.000,0.000,0.000,0.000,31.470,199,0,0
p86,1,34.982,200,0.000,0.000,0.000,0.000,35.170,201,0,0
p87,1,35.654,204,0.000,0.000,0.000,0.000,33.860,205,0,0
p88,1,32.732,206,0.000,0.000,0.000,0.000,35.220,207,0,0
